AccountNumber,Usagedate,Value,Meternumber
3650020-583981,9/16/2019,9,3650020-10450-1
3650020-583981,9/14/2020,12,3650020-10450-1
3452280-652248,11/16/2020,6,3452280-10450-1
3452280-652248,1/17/2022,7,3452280-10450-1
3452280-652248,5/16/2022,6,3452280-10450-1
3452520-661795,11/16/2021,15,3452520-10450-1
3821380-650339,11/12/2019,59,3821380-10450-1
3650020-583981,11/16/2020,14,3650020-10450-1
3650020-583981,9/13/2021,8,3650020-10450-1
3650020-583981,5/16/2022,15,3650020-10450-1
3452280-652248,7/15/2019,6,3452280-10450-1
3452280-652248,3/17/2020,6,3452280-10450-1
3650020-583981,5/14/2019,12,3650020-10450-1
3650020-583981,3/17/2020,8,3650020-10450-1
3650020-583981,7/14/2020,12,3650020-10450-1
3650020-583981,11/16/2021,11,3650020-10450-1
3650020-583981,1/15/2019,12,3650020-10450-1
3650020-583981,3/15/2021,11,3650020-10450-1
3700780-556230,1/14/2020,9,3700780-10450-1
3700780-556230,1/13/2021,14,3700780-10450-1
3700780-556230,5/16/2022,11,3700780-10450-1
3750900-29734,9/16/2019,11,3750900-10450-1
3750900-29734,1/14/2020,10,3750900-10450-1
3750900-29734,7/13/2021,8,3750900-10450-1
4000400-578712,1/17/2022,26,4000400-10450-1
4000400-578712,5/17/2022,21,4000400-10450-1
3750900-29734,7/14/2020,9,3750900-10450-1
3750900-29734,9/13/2021,10,3750900-10450-1
3750900-29734,1/17/2022,9,3750900-10450-1
3820370-28877,9/16/2019,41,3820370-10450-1
3820370-28877,1/14/2020,26,3820370-10450-1
3820370-28877,9/14/2020,53,3820370-10450-1
3750900-29734,5/14/2019,-2,3750900-10450-1
3750900-29734,11/16/2020,9,3750900-10450-1
3750900-29734,3/15/2022,8,3750900-10450-1
4001102-34166,1/17/2022,12,4001102-10450-1
3700780-556230,7/15/2019,11,3700780-10450-1
3700780-556230,3/17/2020,10,3700780-10450-1
3700780-556230,7/13/2021,9,3700780-10450-1
4001144-525476,3/15/2021,0,4001144-10450-1
4001144-525476,5/16/2021,0,4001144-10450-1
3750900-29734,7/15/2019,10,3750900-10450-1
3750900-29734,3/15/2021,11,3750900-10450-1
3750900-29734,5/16/2022,8,3750900-10450-1
3820370-28877,3/13/2019,15,3820370-10450-1
3820370-28877,5/14/2019,42,3820370-10450-1
3820370-28877,11/16/2020,64,3820370-10450-1
3802470-667500,11/16/2021,26,3802470-10450-1
3650020-583981,5/16/2021,16,3650020-10450-1
3820370-28877,7/15/2019,52,3820370-10450-1
3820370-28877,7/14/2020,47,3820370-10450-1
3820370-28877,5/16/2022,44,3820370-10450-1
4050680-74288,1/16/2019,0,4050680-10450-1
3820370-28877,7/13/2021,36,3820370-10450-1
3820370-28877,9/13/2021,62,3820370-10450-1
4050680-74288,3/16/2021,0,4050680-10450-1
3802260-34116,1/14/2020,38,3802260-10450-1
3802260-34116,5/16/2022,50,3802260-10450-1
3820370-28877,1/15/2019,28,3820370-10450-1
3820370-28877,3/17/2020,26,3820370-10450-1
3820370-28877,5/12/2020,25,3820370-10450-1
3750900-29734,1/15/2019,12,3750900-10450-1
3750900-29734,1/13/2021,9,3750900-10450-1
3750900-29734,5/16/2021,1,3750900-10450-1
4000400-578712,3/15/2022,18,4000400-10450-1
3820370-28877,11/12/2019,51,3820370-10450-1
3820370-28877,5/16/2021,29,3820370-10450-1
4000400-578712,5/16/2021,11,4000400-10450-1
4001102-34166,11/16/2021,58,4001102-10450-1
4001102-34166,3/15/2022,6,4001102-10450-1
4001144-525476,1/15/2019,0,4001144-10450-1
4001144-525476,7/13/2021,0,4001144-10450-1
4000400-578712,11/16/2021,15,4000400-10450-1
4001102-34166,3/15/2021,5,4001102-10450-1
4001144-525476,3/13/2019,0,4001144-10450-1
4001144-525476,5/14/2019,0,4001144-10450-1
4001144-525476,3/17/2020,0,4001144-10450-1
4001144-525476,5/12/2020,0,4001144-10450-1
4001144-525476,11/16/2020,0,4001144-10450-1
4001144-525476,1/13/2021,0,4001144-10450-1
4001144-525476,11/16/2021,0,4001144-10450-1
4001144-525476,3/15/2022,0,4001144-10450-1
4050680-74288,7/16/2019,0,4050680-10450-1
4050680-74288,1/15/2020,0,4050680-10450-1
4050680-74288,5/17/2021,0,4050680-10450-1
4050680-74288,7/14/2021,0,4050680-10450-1
3301360-653043,11/12/2019,10,3301360-10450-1
3301360-653043,1/14/2020,10,3301360-10450-1
3301360-653043,5/12/2020,10,3301360-10450-1
3301360-653043,9/13/2021,6,3301360-10450-1
3301360-653043,5/16/2022,10,3301360-10450-1
3202580-6670,1/14/2020,17,3202580-10450-1
3202580-6670,5/12/2020,20,3202580-10450-1
3301360-653043,3/15/2022,9,3301360-10450-1
3200360-655257,1/14/2020,86,3200360-10450-1
3302300-5019,9/13/2021,7,3302300-10450-1
3200360-655257,3/15/2021,67,3200360-10450-1
3251400-655261,7/14/2020,68,3251400-10450-1
3251400-655261,1/13/2021,35,3251400-10450-1
3251400-655261,5/16/2021,49,3251400-10450-1
3251400-655261,3/15/2022,37,3251400-10450-1
3251400-655261,5/17/2022,46,3251400-10450-1
3452520-661795,5/16/2021,13,3452520-10450-1
3452520-661795,3/15/2022,16,3452520-10450-1
3650020-583981,3/13/2019,11,3650020-10450-1
3650020-583981,7/15/2019,12,3650020-10450-1
3650020-583981,1/14/2020,15,3650020-10450-1
3650020-583981,1/17/2022,14,3650020-10450-1
3152300-579316,3/13/2019,7,3152300-10450-1
3152300-579316,1/14/2020,28,3152300-10450-1
3152300-579316,11/16/2020,54,3152300-10450-1
3200360-655257,5/12/2020,72,3200360-10450-1
3200360-655257,7/14/2020,91,3200360-10450-1
3301360-653043,7/14/2020,10,3301360-10450-1
3301360-653043,5/16/2021,11,3301360-10450-1
3700780-556230,1/15/2019,9,3700780-10450-1
3700780-556230,5/14/2019,9,3700780-10450-1
3700780-556230,3/15/2021,16,3700780-10450-1
3700780-556230,1/17/2022,10,3700780-10450-1
3700780-556230,3/15/2022,11,3700780-10450-1
3302300-5019,5/16/2022,9,3302300-10450-1
3301360-653043,3/17/2020,9,3301360-10450-1
3301360-653043,9/14/2020,12,3301360-10450-1
3301360-653043,1/17/2022,10,3301360-10450-1
3452280-652248,11/12/2019,6,3452280-10450-1
3452280-652248,9/13/2021,4,3452280-10450-1
3452280-652248,11/16/2021,7,3452280-10450-1
3452280-652248,1/15/2019,7,3452280-10450-1
3452280-652248,7/14/2020,8,3452280-10450-1
3452280-652248,7/13/2021,5,3452280-10450-1
3452520-661795,5/16/2022,16,3452520-10450-1
3302300-5019,5/16/2021,10,3302300-10450-1
3802260-34116,7/14/2020,43,3802260-10450-1
3802260-34116,1/13/2021,43,3802260-10450-1
3802260-34116,11/16/2021,54,3802260-10450-1
3802260-34116,3/15/2022,35,3802260-10450-1
3802470-667500,3/15/2022,23,3802470-10450-1
3700780-556230,9/14/2020,15,3700780-10450-1
3700780-556230,11/16/2020,14,3700780-10450-1
3700780-556230,11/16/2021,10,3700780-10450-1
3650020-583981,5/12/2020,12,3650020-10450-1
3650020-583981,1/13/2021,16,3650020-10450-1
3650020-583981,3/15/2022,10,3650020-10450-1
3700780-556230,9/16/2019,9,3700780-10450-1
3700780-556230,5/12/2020,12,3700780-10450-1
3700780-556230,5/16/2021,15,3700780-10450-1
3700780-556230,9/13/2021,13,3700780-10450-1
3650020-583981,11/12/2019,11,3650020-10450-1
3650020-583981,7/13/2021,14,3650020-10450-1
3700780-556230,11/12/2019,10,3700780-10450-1
3802470-667500,5/16/2022,42,3802470-10450-1
3750900-29734,11/12/2019,8,3750900-10450-1
3750900-29734,3/17/2020,8,3750900-10450-1
3750900-29734,9/14/2020,11,3750900-10450-1
3802260-34116,1/15/2019,38,3802260-10450-1
3802260-34116,5/16/2021,44,3802260-10450-1
3802470-667500,9/13/2021,26,3802470-10450-1
3802470-667500,1/17/2022,37,3802470-10450-1
3802260-34116,9/16/2019,47,3802260-10450-1
3802260-34116,9/14/2020,50,3802260-10450-1
3802260-34116,7/13/2021,30,3802260-10450-1
3802260-34116,5/14/2019,43,3802260-10450-1
3802260-34116,7/15/2019,51,3802260-10450-1
3802260-34116,11/12/2019,49,3802260-10450-1
3802260-34116,9/13/2021,62,3802260-10450-1
3802260-34116,1/17/2022,40,3802260-10450-1
3750900-29734,5/12/2020,10,3750900-10450-1
3750900-29734,11/16/2021,7,3750900-10450-1
3821380-650339,9/16/2019,44,3821380-10450-1
3821380-650339,1/14/2020,52,3821380-10450-1
3700780-556230,3/13/2019,9,3700780-10450-1
3700780-556230,7/14/2020,13,3700780-10450-1
3820370-28877,1/13/2021,27,3820370-10450-1
3820370-28877,3/15/2021,38,3820370-10450-1
3820370-28877,11/16/2021,28,3820370-10450-1
3820370-28877,1/17/2022,32,3820370-10450-1
3821380-650339,3/15/2020,37,3821380-10450-1
4001144-525476,11/12/2019,0,4001144-10450-1
4001144-525476,1/14/2020,0,4001144-10450-1
4001144-525476,1/17/2022,0,4001144-10450-1
3802260-34116,3/13/2019,29,3802260-10450-1
3802260-34116,3/17/2020,31,3802260-10450-1
3802260-34116,5/12/2020,20,3802260-10450-1
3802260-34116,11/16/2020,55,3802260-10450-1
3802260-34116,3/15/2021,35,3802260-10450-1
4001144-525476,7/15/2019,0,4001144-10450-1
4001144-525476,9/14/2020,0,4001144-10450-1
4001144-525476,9/14/2021,0,4001144-10450-1
4001144-525476,7/14/2020,0,4001144-10450-1
4001144-525476,5/17/2022,0,4001144-10450-1
4050680-74288,3/14/2019,0,4050680-10450-1
4050680-74288,6/18/2019,0,4050680-10450-1
4050680-74288,4/15/2020,0,4050680-10450-1
4050680-74288,8/18/2020,0,4050680-10450-1
4050680-74288,10/13/2021,0,4050680-10450-1
4050680-74288,12/15/2021,0,4050680-10450-1
4000400-578712,7/13/2021,20,4000400-10450-1
4001102-34166,5/16/2021,36,4001102-10450-1
4001102-34166,9/14/2021,31,4001102-10450-1
4001102-34166,5/17/2022,7,4001102-10450-1
4001144-525476,9/16/2019,0,4001144-10450-1
4050680-74288,10/16/2019,0,4050680-10450-1
4050680-74288,7/15/2020,0,4050680-10450-1
4050680-74288,12/16/2020,0,4050680-10450-1
4050680-74288,4/14/2021,0,4050680-10450-1
4050680-74288,4/16/2019,0,4050680-10450-1
4050680-74288,5/15/2019,0,4050680-10450-1
4050680-74288,9/17/2019,0,4050680-10450-1
4050680-74288,9/15/2020,0,4050680-10450-1
4050680-74288,9/15/2021,0,4050680-10450-1
4050680-74288,1/18/2022,0,4050680-10450-1
4050680-74288,2/16/2022,0,4050680-10450-1
4050680-74288,5/17/2022,0,4050680-10450-1
4000400-578712,9/14/2021,17,4000400-10450-1
4301840-661148,11/16/2021,18,4301840-10450-1
4301840-661148,3/15/2022,29,4301840-10450-1
4050680-74288,11/13/2019,0,4050680-10450-1
4050680-74288,12/17/2019,0,4050680-10450-1
4050680-74288,6/16/2020,0,4050680-10450-1
4050680-74288,10/14/2020,0,4050680-10450-1
4050680-74288,11/17/2020,0,4050680-10450-1
4050680-74288,8/17/2021,0,4050680-10450-1
4050680-74288,3/16/2022,0,4050680-10450-1
4652460-21725,1/15/2019,20,4652460-10450-1
4652460-21725,9/14/2020,48,4652460-10450-1
4701980-535093,7/14/2020,25,4701980-10450-1
4701980-535093,9/14/2020,23,4701980-10450-1
4701980-535093,7/13/2021,20,4701980-10450-1
4701980-535093,1/17/2022,19,4701980-10450-1
4701980-535093,5/17/2022,23,4701980-10450-1
4301840-661148,1/13/2021,9,4301840-10450-1
4851240-74562,1/15/2019,45,4851240-10450-1
4851240-74562,5/14/2019,42,4851240-10450-1
4851240-74562,7/13/2021,47,4851240-10450-1
4851300-361518,1/15/2019,40,4851300-10450-1
4851300-361518,7/14/2020,50,4851300-10450-1
4851300-361518,1/17/2022,28,4851300-10450-1
4451860-15099,3/13/2019,8,4451860-10450-1
4451860-15099,5/14/2019,7,4451860-10450-1
4451860-15099,11/16/2021,2,4451860-10450-1
4451860-15099,5/17/2022,2,4451860-10450-1
4451920-116674,3/13/2019,8,4451920-10450-1
4451920-116674,7/15/2019,337,4451920-10450-1
4451920-116674,9/16/2019,431,4451920-10450-1
4451920-116674,11/16/2020,507,4451920-10450-1
4952120-34283,1/15/2019,14,4952120-10450-1
4952120-34283,5/14/2019,12,4952120-10450-1
4952120-34283,9/16/2019,12,4952120-10450-1
4952120-34283,7/13/2021,13,4952120-10450-1
4952120-34283,5/17/2022,13,4952120-10450-1
5000240-489992,1/15/2019,39,5000240-10450-1
5000240-489992,3/13/2019,37,5000240-10450-1
5000240-489992,5/14/2019,44,5000240-10450-1
5000240-489992,5/12/2020,16,5000240-10450-1
5000240-489992,1/13/2021,18,5000240-10450-1
4451860-15099,9/16/2019,8,4451860-10450-1
4451860-15099,7/14/2020,3,4451860-10450-1
4451860-15099,1/17/2022,3,4451860-10450-1
4451920-116674,1/14/2020,191,4451920-10450-1
4451920-116674,5/12/2020,77,4451920-10450-1
4451920-116674,1/13/2021,269,4451920-10450-1
5100280-654453,3/13/2019,13,5100280-10450-1
4453900-1004,5/14/2019,410,4453900-10450-1
4453900-1004,5/12/2020,361,4453900-10450-1
5101060-34181,7/14/2020,38,5101060-10450-1
5101060-34181,9/14/2021,40,5101060-10450-1
4451860-15099,1/15/2019,9,4451860-10450-1
4451860-15099,1/13/2021,7,4451860-10450-1
4652460-21725,5/14/2019,27,4652460-10450-1
4652460-21725,11/12/2019,32,4652460-10450-1
4652460-21725,5/16/2021,27,4652460-10450-1
4451920-116674,11/12/2019,437,4451920-10450-1
4451920-116674,3/15/2021,75,4451920-10450-1
4451920-116674,9/14/2021,435,4451920-10450-1
4451920-116674,3/15/2022,173,4451920-10450-1
4453900-1004,3/17/2020,540,4453900-10450-1
4453900-1004,9/14/2021,689,4453900-10450-1
4453900-1004,3/15/2022,577,4453900-10450-1
4453900-1004,7/15/2019,565,4453900-10450-1
4453900-1004,11/16/2020,690,4453900-10450-1
4301840-661148,5/16/2021,15,4301840-10450-1
4301840-661148,5/17/2022,35,4301840-10450-1
4651040-20011,5/12/2020,42,4651040-10450-1
4651040-20011,5/16/2021,25,4651040-10450-1
4652460-21725,9/16/2019,29,4652460-10450-1
4652460-21725,1/14/2020,32,4652460-10450-1
4652460-21725,3/17/2020,24,4652460-10450-1
4652460-21725,11/16/2021,36,4652460-10450-1
4652460-21725,5/17/2022,22,4652460-10450-1
5202680-30433,7/15/2019,46,5202680-10450-1
5202680-30433,3/17/2020,25,5202680-10450-1
5202680-30433,7/13/2021,47,5202680-10450-1
5202680-30433,9/14/2021,50,5202680-10450-1
4652460-21725,7/14/2020,79,4652460-10450-1
4652460-21725,1/13/2021,31,4652460-10450-1
4652460-21725,3/15/2022,20,4652460-10450-1
4652460-21725,3/13/2019,11,4652460-10450-1
4652460-21725,5/12/2020,30,4652460-10450-1
4652460-21725,11/16/2020,42,4652460-10450-1
4652460-21725,7/13/2021,38,4652460-10450-1
4652460-21725,3/15/2021,18,4652460-10450-1
4652460-21725,9/14/2021,35,4652460-10450-1
4652460-21725,1/17/2022,24,4652460-10450-1
4701980-535093,9/16/2019,37,4701980-10450-1
4701980-535093,3/13/2019,27,4701980-10450-1
4701980-535093,3/17/2020,22,4701980-10450-1
4701980-535093,3/15/2021,29,4701980-10450-1
4701980-535093,3/15/2022,23,4701980-10450-1
4451860-15099,11/12/2019,7,4451860-10450-1
4451860-15099,9/14/2020,10,4451860-10450-1
4451860-15099,7/13/2021,3,4451860-10450-1
4451860-15099,9/14/2021,3,4451860-10450-1
4851240-74562,7/14/2020,38,4851240-10450-1
4851240-74562,5/16/2021,34,4851240-10450-1
4851240-74562,9/14/2021,43,4851240-10450-1
4851240-74562,5/17/2022,73,4851240-10450-1
4851300-361518,7/15/2019,54,4851300-10450-1
4851300-361518,9/14/2020,66,4851300-10450-1
4851300-361518,5/16/2021,35,4851300-10450-1
4851300-361518,7/13/2021,49,4851300-10450-1
4451920-116674,5/14/2019,118,4451920-10450-1
4451920-116674,7/14/2020,392,4451920-10450-1
4451920-116674,11/16/2021,344,4451920-10450-1
4451920-116674,5/17/2022,328,4451920-10450-1
5003420-137427,1/15/2019,6,5003420-10450-1
5003420-137427,5/14/2019,4,5003420-10450-1
5003420-137427,5/12/2020,4,5003420-10450-1
5003420-137427,1/13/2021,6,5003420-10450-1
4050680-74288,4/12/2022,0,4050680-10450-1
4050680-74288,2/17/2021,0,4050680-10450-1
4050680-74288,11/17/2021,0,4050680-10450-1
4050680-74288,2/14/2019,0,4050680-10450-1
4050680-74288,8/15/2019,0,4050680-10450-1
4050680-74288,2/13/2020,0,4050680-10450-1
4050680-74288,3/18/2020,0,4050680-10450-1
4050680-74288,5/13/2020,0,4050680-10450-1
4050680-74288,1/14/2021,0,4050680-10450-1
4050680-74288,6/16/2021,0,4050680-10450-1
4451860-15099,5/12/2020,1,4451860-10450-1
4451860-15099,11/16/2020,6,4451860-10450-1
4451860-15099,5/16/2021,4,4451860-10450-1
4451920-116674,7/13/2021,364,4451920-10450-1
4001102-34166,7/13/2021,14,4001102-10450-1
4453900-1004,11/12/2019,482,4453900-10450-1
4453900-1004,1/13/2021,474,4453900-10450-1
4453900-1004,7/13/2021,636,4453900-10450-1
4453900-1004,11/16/2021,542,4453900-10450-1
4651040-20011,3/13/2019,19,4651040-10450-1
4651040-20011,9/14/2020,35,4651040-10450-1
4651040-20011,3/15/2021,17,4651040-10450-1
4651040-20011,3/15/2022,18,4651040-10450-1
4301840-661148,9/14/2021,24,4301840-10450-1
4301840-661148,3/15/2021,14,4301840-10450-1
4301840-661148,7/13/2021,18,4301840-10450-1
4301840-661148,1/17/2022,27,4301840-10450-1
4453900-1004,1/14/2020,301,4453900-10450-1
4453900-1004,9/14/2020,1129,4453900-10450-1
4453900-1004,3/15/2021,327,4453900-10450-1
5003420-137427,3/13/2019,5,5003420-10450-1
5003420-137427,11/16/2020,6,5003420-10450-1
5003420-137427,3/15/2021,6,5003420-10450-1
4453900-1004,9/16/2019,625,4453900-10450-1
4453900-1004,7/14/2020,932,4453900-10450-1
4451920-116674,1/15/2019,245,4451920-10450-1
4451920-116674,9/14/2020,567,4451920-10450-1
4451920-116674,5/16/2021,212,4451920-10450-1
4451860-15099,1/14/2020,7,4451860-10450-1
4451860-15099,3/15/2021,8,4451860-10450-1
4451860-15099,3/15/2022,1,4451860-10450-1
4451920-116674,3/17/2020,187,4451920-10450-1
4451920-116674,1/17/2022,6,4451920-10450-1
4451860-15099,7/15/2019,8,4451860-10450-1
4451860-15099,3/17/2020,5,4451860-10450-1
5100180-16825,1/17/2022,19,5100180-10450-1
4453900-1004,1/15/2019,286,4453900-10450-1
4453900-1004,3/13/2019,34,4453900-10450-1
4453900-1004,5/16/2021,567,4453900-10450-1
4453900-1004,5/17/2022,618,4453900-10450-1
5120850-533413,7/15/2019,13,5120850-10450-1
5120850-533413,1/13/2021,7,5120850-10450-1
5120850-533413,3/15/2022,9,5120850-10450-1
4701980-535093,1/13/2021,19,4701980-10450-1
4701980-535093,5/16/2021,10,4701980-10450-1
5152000-93834,9/14/2021,37,5152000-10450-1
5152560-57217,7/15/2019,27,5152560-10450-1
4651040-20011,7/15/2019,52,4651040-10450-1
4651040-20011,1/17/2022,18,4651040-10450-1
4651040-20011,5/17/2022,29,4651040-10450-1
4851240-74562,11/12/2019,42,4851240-10450-1
4851240-74562,5/12/2020,38,4851240-10450-1
4851300-361518,3/17/2020,32,4851300-10450-1
4851300-361518,1/13/2021,34,4851300-10450-1
4652460-21725,7/15/2019,40,4652460-10450-1
5300749-659282,1/17/2022,12,5300749-10450-1
5300749-659282,5/17/2022,12,5300749-10450-1
4701980-535093,1/15/2019,23,4701980-10450-1
4701980-535093,7/15/2019,45,4701980-10450-1
4701980-535093,1/14/2020,21,4701980-10450-1
4701980-535093,11/16/2021,37,4701980-10450-1
4651040-20011,9/14/2021,36,4651040-10450-1
4651040-20011,1/15/2019,46,4651040-10450-1
4651040-20011,11/16/2020,30,4651040-10450-1
4651040-20011,1/13/2021,20,4651040-10450-1
4651040-20011,5/14/2019,35,4651040-10450-1
4651040-20011,1/14/2020,18,4651040-10450-1
4651040-20011,3/17/2020,10,4651040-10450-1
4651040-20011,7/13/2021,38,4651040-10450-1
4701980-535093,5/14/2019,22,4701980-10450-1
4952120-34283,3/13/2019,13,4952120-10450-1
4952120-34283,11/12/2019,13,4952120-10450-1
4952120-34283,5/16/2021,13,4952120-10450-1
5000240-489992,5/16/2021,18,5000240-10450-1
5000240-489992,7/13/2021,23,5000240-10450-1
5000240-489992,3/15/2022,14,5000240-10450-1
5000240-489992,5/17/2022,18,5000240-10450-1
4851240-74562,11/16/2020,38,4851240-10450-1
4851240-74562,1/17/2022,37,4851240-10450-1
4851300-361518,11/16/2020,49,4851300-10450-1
4851300-361518,3/15/2021,26,4851300-10450-1
4701980-535093,11/12/2019,29,4701980-10450-1
4701980-535093,5/12/2020,23,4701980-10450-1
4701980-535093,11/16/2020,24,4701980-10450-1
4701980-535093,9/14/2021,21,4701980-10450-1
5100180-16825,5/17/2022,23,5100180-10450-1
5100280-654453,7/15/2019,23,5100280-10450-1
5100280-654453,5/17/2022,26,5100280-10450-1
4453900-1004,1/17/2022,418,4453900-10450-1
5101060-34181,1/15/2019,29,5101060-10450-1
5101060-34181,1/13/2021,38,5101060-10450-1
5400880-11813,3/17/2020,21,5400880-10450-1
5400880-11813,9/14/2020,32,5400880-10450-1
5400880-11813,11/16/2020,20,5400880-10450-1
5400880-11813,1/13/2021,19,5400880-10450-1
5400880-11813,9/14/2021,18,5400880-10450-1
4851240-74562,3/17/2020,23,4851240-10450-1
4851240-74562,3/15/2021,37,4851240-10450-1
4851300-361518,9/16/2019,61,4851300-10450-1
4851300-361518,1/14/2020,31,4851300-10450-1
4952120-34283,7/14/2020,18,4952120-10450-1
4952120-34283,11/16/2020,16,4952120-10450-1
4952120-34283,3/15/2022,11,4952120-10450-1
4902280-667753,5/17/2022,3,4902280-10450-1
5003420-137427,7/15/2019,6,5003420-10450-1
5003420-137427,9/16/2019,4,5003420-10450-1
5003420-137427,11/12/2019,6,5003420-10450-1
5003420-137427,5/17/2022,6,5003420-10450-1
4952120-34283,3/17/2020,12,4952120-10450-1
4952120-34283,3/15/2021,13,4952120-10450-1
4952120-34283,11/16/2021,13,4952120-10450-1
5000240-489992,9/14/2020,29,5000240-10450-1
4851240-74562,9/16/2019,38,4851240-10450-1
4851240-74562,1/14/2020,37,4851240-10450-1
4851300-361518,5/12/2020,32,4851300-10450-1
4851300-361518,3/15/2022,30,4851300-10450-1
4851300-361518,5/17/2022,30,4851300-10450-1
4851240-74562,3/13/2019,32,4851240-10450-1
4851240-74562,9/14/2020,48,4851240-10450-1
4851300-361518,3/13/2019,21,4851300-10450-1
4851300-361518,11/12/2019,56,4851300-10450-1
4851300-361518,9/14/2021,42,4851300-10450-1
4902280-667753,11/16/2021,0,4902280-10450-1
5150020-660806,3/15/2022,22,5150020-10450-1
4902280-667753,1/17/2022,2,4902280-10450-1
4902280-667753,3/15/2022,1,4902280-10450-1
4952120-34283,1/14/2020,13,4952120-10450-1
5152000-93834,9/16/2019,46,5152000-10450-1
5152000-93834,9/14/2020,54,5152000-10450-1
5000240-489992,9/16/2019,62,5000240-10450-1
5000240-489992,11/12/2019,76,5000240-10450-1
5000240-489992,1/14/2020,80,5000240-10450-1
5000240-489992,3/15/2021,16,5000240-10450-1
5152560-57217,1/13/2021,22,5152560-10450-1
5152560-57217,5/17/2022,32,5152560-10450-1
5100180-16825,11/12/2019,23,5100180-10450-1
5100180-16825,5/12/2020,12,5100180-10450-1
5100180-16825,7/14/2020,25,5100180-10450-1
5100280-654453,5/14/2019,16,5100280-10450-1
5100280-654453,1/14/2020,19,5100280-10450-1
5100280-654453,9/14/2021,30,5100280-10450-1
5101060-34181,9/16/2019,41,5101060-10450-1
5101060-34181,1/14/2020,23,5101060-10450-1
5101060-34181,3/17/2020,28,5101060-10450-1
5101060-34181,5/12/2020,19,5101060-10450-1
5101060-34181,11/16/2020,42,5101060-10450-1
4651040-20011,9/16/2019,52,4651040-10450-1
4651040-20011,11/12/2019,44,4651040-10450-1
4651040-20011,7/14/2020,61,4651040-10450-1
4651040-20011,11/16/2021,25,4651040-10450-1
4952120-34283,5/12/2020,9,4952120-10450-1
5003420-137427,11/16/2021,6,5003420-10450-1
5003420-137427,1/17/2022,6,5003420-10450-1
4952120-34283,9/14/2021,11,4952120-10450-1
5100180-16825,1/15/2019,26,5100180-10450-1
5100180-16825,9/14/2020,22,5100180-10450-1
5100180-16825,7/13/2021,12,5100180-10450-1
5100280-654453,11/12/2019,32,5100280-10450-1
5003420-137427,5/16/2021,7,5003420-10450-1
5101060-34181,7/15/2019,35,5101060-10450-1
5101060-34181,3/15/2021,17,5101060-10450-1
5000240-489992,7/15/2019,64,5000240-10450-1
5000240-489992,9/14/2021,39,5000240-10450-1
5550300-564281,7/15/2019,16,5550300-10450-1
5550300-564281,3/15/2021,16,5550300-10450-1
5120850-533413,3/13/2019,45,5120850-10450-1
5120850-533413,5/14/2019,12,5120850-10450-1
5120850-533413,7/14/2020,9,5120850-10450-1
5120850-533413,11/16/2020,4,5120850-10450-1
5120850-533413,9/13/2021,12,5120850-10450-1
5100180-16825,5/14/2019,14,5100180-10450-1
5100180-16825,3/17/2020,9,5100180-10450-1
5100180-16825,9/14/2021,19,5100180-10450-1
5120850-533413,9/16/2019,12,5120850-10450-1
5120850-533413,1/14/2020,8,5120850-10450-1
5120850-533413,7/13/2021,6,5120850-10450-1
5100280-654453,3/15/2021,15,5100280-10450-1
5100280-654453,11/16/2021,26,5100280-10450-1
5150020-660806,1/17/2022,8,5150020-10450-1
5152000-93834,7/14/2020,27,5152000-10450-1
5202680-30433,3/13/2019,9,5202680-10450-1
5202680-30433,5/14/2019,21,5202680-10450-1
5152000-93834,5/14/2019,36,5152000-10450-1
5152000-93834,11/12/2019,36,5152000-10450-1
5152000-93834,5/12/2020,21,5152000-10450-1
5152000-93834,5/16/2021,33,5152000-10450-1
5152000-93834,11/16/2021,28,5152000-10450-1
5202680-30433,1/14/2020,29,5202680-10450-1
5202680-30433,7/14/2020,45,5202680-10450-1
5202680-30433,1/13/2021,51,5202680-10450-1
5202680-30433,5/16/2021,49,5202680-10450-1
5202680-30433,1/17/2022,26,5202680-10450-1
5202680-30433,5/17/2022,43,5202680-10450-1
5152000-93834,1/15/2019,30,5152000-10450-1
5152000-93834,3/17/2020,13,5152000-10450-1
5152000-93834,3/15/2021,22,5152000-10450-1
5152000-93834,1/17/2022,43,5152000-10450-1
5152000-93834,5/17/2022,55,5152000-10450-1
5152560-57217,5/14/2019,12,5152560-10450-1
5152560-57217,11/12/2019,22,5152560-10450-1
5152560-57217,1/14/2020,15,5152560-10450-1
5152560-57217,3/17/2020,24,5152560-10450-1
5152560-57217,3/15/2021,14,5152560-10450-1
5300749-659282,1/13/2021,24,5300749-10450-1
5300749-659282,7/13/2021,18,5300749-10450-1
5202680-30433,11/12/2019,44,5202680-10450-1
5400880-11813,5/12/2020,10,5400880-10450-1
5400880-11813,11/16/2021,49,5400880-10450-1
5304550-661895,1/17/2022,14,5304550-10450-1
5300749-659282,5/12/2020,13,5300749-10450-1
5300749-659282,11/16/2021,19,5300749-10450-1
4952120-34283,7/15/2019,13,4952120-10450-1
4952120-34283,9/14/2020,16,4952120-10450-1
4952120-34283,1/13/2021,13,4952120-10450-1
4952120-34283,1/17/2022,14,4952120-10450-1
5304550-661895,7/13/2021,9,5304550-10450-1
5304550-661895,5/17/2022,16,5304550-10450-1
5655920-543419,11/16/2020,0,5655920-10450-1
5655920-543419,9/14/2021,0,5655920-10450-1
5655920-543419,11/16/2021,0,5655920-10450-1
5304550-661895,11/16/2021,8,5304550-10450-1
